"Jabatan","Perusahaan","Alamat","Gaji","Kategori"
"Senior Document Controller","PT. HIMAWAN PUTRA","Jakarta Utara, Jakarta Raya","","subClassification: Manajemen Catatan & Kontrol DokumenManajemen Catatan & Kontrol Dokumenclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Personal Assistant to Director (Mandarin Speaker)","PT. Beauty Source Indonesia","Jakarta Barat, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"SAP Executive","PT Takasago International Indonesia","Cikarang","","subClassification: LainnyaLainnyaclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Operation Engineer","SmartLeaders","Jakarta Barat, Jakarta Raya","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"BPS & IT Programmer","PT. Cosco Shipping Lines Indonesia","Jakarta Pusat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Mandarin Translator ( Asisten Mandarin Direktur )","PT Plus One Group Indonesia","Jakarta Utara, Jakarta Raya","Rp 14.000.000 – Rp 20.000.000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Project Officer","Vista Land Group","Jakarta Utara, Jakarta Raya","","subClassification: LainnyaLainnyaclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Support Senior Staff","PT Ancol Terang Metal Printing Industri","Jakarta Utara, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Staff","PT Koppert Tanaka Indo","Tangerang, Banten","Rp 4.500.000 – Rp 5.000.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Project","PT Bangun Anugerah Hanjaya (Enduro System Furniture)","Tangerang Selatan, Banten","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Staff IT Support","PT Hong Xhe Industrial","Cikarang","","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Mobile Developer","PT Prawathiya Karsa Pradipta","Bekasi, Jawa Barat","Rp 6,000,000 – Rp 8,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Technical Support","PT BYTEDEVICE","Jakarta Barat, Jakarta Raya","","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"SCM Sales Admin Specialist","PT Yongwang Electronics Indonesia","Jakarta Barat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"technical engineer","PT Novus Solusi Integrasi","Jakarta Pusat, Jakarta Raya","Rp 4,500,000 – Rp 6,750,000 per month","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Fullstack Developer (JAVA, Java Script, Spring, jQuery, JSP, MyBatis, Mysql...","PT Indo Seungli Makmur","Jakarta Pusat, Jakarta Raya","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Sparepart Supervisor","PT. HIMAWAN PUTRA","Jakarta Utara, Jakarta Raya","","subClassification: Manajemen Catatan & Kontrol DokumenManajemen Catatan & Kontrol Dokumenclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"SYSTEM ADMINISTRATOR","PT Fastrata Buana (Distributor Kapal Api)","Ciracas, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"RECEPTIONIST","PT BUKIT BERLIAN PLANTATIONS","Jakarta Selatan, Jakarta Raya","","subClassification: ResepsionisResepsionisclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"SAP ABAP (Jakarta)","PT Intiland Development Tbk","Jakarta Pusat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Service Supervisor - Microsoft Product (Teams, Share Point, Office 365, etc)","PT Prodia Widyahusada Tbk","Jakarta Pusat, Jakarta Raya","","subClassification: Pemimpin TimPemimpin Timclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Tester Engineer","PT Hastari Adakara Investama","Jakarta Selatan, Jakarta Raya","","subClassification: Uji Coba & Penjaminan MutuUji Coba & Penjaminan Mutuclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Sekretaris Direktur","PT. Jejak Imani Berkah Bersama","Tangerang Selatan, Banten","Rp 4.500.000 – Rp 5.000.000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Content Writer","PT Jakarta Digital Nusantara","Jakarta Barat, Jakarta Raya","Rp 5.000.000 – Rp 6.000.000 per month","subClassification: Penulisan TeknisPenulisan Teknisclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Staff - Manufacturing (A-98676)","RGF HR Agent Indonesia","Jakarta Timur, Jakarta Raya","Rp 5,000,000 – Rp 5,500,000 per month","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Customer Services and Support","PT Silk Route Trade Services Indonesia","Jakarta Utara, Jakarta Raya","","subClassification: Administrasi KontrakAdministrasi Kontrakclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Administration Officer","PT LOLC Ventura Indonesia","Tangerang Selatan, Banten","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Sales & Marketing Administration","","Jakarta Pusat, Jakarta Raya","","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"HRIS","PT Dutapalma Nusantara (Darmex Agro Group)","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Merchandiser (Korean Speaker)","PT Indo Seungli Makmur","Jakarta Pusat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"ADMIN INTERN - SUPPORT KAE","Pharma Metric Labs","Cempaka Putih, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Solution Manager","PT YOFC International Indonesia","Jakarta Barat, Jakarta Raya","","subClassification: Penjualan – Pra & PascaPenjualan – Pra & Pascaclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Officer Business Solution","PT Cipta Krida Bahari","Jakarta Selatan, Jakarta Raya","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Project","PT. Virtus Visio Vortexa (Holding)","Penjaringan, Jakarta Raya","Rp 4,500,000 – Rp 6,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Administration Staff","","Tangerang, Banten","Rp 4,000,000 – Rp 4,500,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Management Assistant","PT Indobara Bahana","Jakarta Pusat, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Personal Assistant","","Jakarta Utara, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Business Administrative & GM Assistant","PT Guyovital","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Personal Assistant CEO","PT Dwigunatama Rintisprima","Cileungsi, Jawa Barat","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"RPA Developer","PT Mahardika Teknotama Integrasi (MTI)","Jakarta Selatan, Jakarta Raya","Rp 7,000,000 – Rp 10,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Resepsionis","PT. Bakti Artha Reksa Sejahtera","Jakarta Utara, Jakarta Raya","","subClassification: ResepsionisResepsionisclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Staff HRD","PT. Suryaprana Nutrisindo","Jakarta Pusat, Jakarta Raya","","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"FACILITY TECH TEAM LEAD [MANAGER] - (Footwear Industry)","PT Victory Chingluh Indonesia","Tangerang, Banten","","subClassification: Pemimpin TimPemimpin Timclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Technical Support Intern","PT Smartec Teknologi Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Technical Presales","PT Reycom Document Solusi","Jakarta Pusat, Jakarta Raya","","subClassification: Penjualan – Pra & PascaPenjualan – Pra & Pascaclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Database","PT. BANK PERKREDITAN RAKYAT XEN","Depok, Jawa Barat","","subClassification: Pengembangan & Administrasi DatabasePengembangan & Administrasi Databaseclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Software Engineer","Kompas Gramedia Group of Manufacture","Jakarta Pusat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"SENIOR SYSTEM ADMINISTRATOR","PT Indonesia Satu Tujuh","Jakarta Selatan, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT - System & Endpoint Security Officer","PT Prodia Widyahusada Tbk","Jakarta Pusat, Jakarta Raya","Rp 7,000,000 – Rp 9,000,000 per month","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Server Infrastructure Support","PT Nusantara Compnet Integrator","Tangerang Selatan, Banten","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Personal Assistant","PT Pong Pertama Indonesia","Jakarta Selatan, Jakarta Raya","Rp 10,000,000 – Rp 15,000,000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Toko Online Shop (Shopee, Tiktok Shop, Lazada)","Aveline Shop","Jakarta Barat, Jakarta Raya","","subClassification: LainnyaLainnyaclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Support & Development Staff","PT Sqiva Sistem","Jakarta Pusat, Jakarta Raya","","subClassification: LainnyaLainnyaclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Governance Risk Compliance","PT Surya Semesta Internusa, Tbk","Jakarta Selatan, Jakarta Raya","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Customer Relation Officer","PT Jaya Real Property Tbk","Tangerang Selatan, Banten","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Infrastructure (Senior)","PT LinkIT360","Jakarta Selatan, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Staf Administrasi","PT Sinergi Cipta Ananta","Jakarta Pusat, Jakarta Raya","Rp 3,500,000 – Rp 5,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Internship All Departments (Magang)","PT Plaza Nusantara Realti","Jakarta Pusat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Technician (Hardware & Software)","PT PiEE Internasional","Jakarta Utara, Jakarta Raya","","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Operation Admin Intern","PT CITY VISION","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Assistant for Agency Management Work","PT KDDI Indonesia","Jakarta Pusat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Java Developer","PT IDStar Cipta Teknologi","Jakarta Selatan, Jakarta Raya","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Head Admin","PT Hektor Global Bisnis","Jakarta Utara, Jakarta Raya","","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"System Security Engineer","PHINTRACO GROUP","Jakarta Selatan, Jakarta Raya","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT - Support Officer","PT Tera Logistic Indonesia","Jakarta Pusat, Jakarta Raya","Rp 5,000,000 – Rp 7,000,000 per month","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Flutter Mobile Developer","PT. SOLUSI EKSPLORASI REMBULAN UTAMA​","Jakarta Barat, Jakarta Raya","Rp 5,500,000 – Rp 8,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Programmer (ASP.Net/ C#)","Arista Group","Jakarta Timur, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Infrastructure & Security Manager","PT Gunung Raja Paksi,Tbk","Cikarang","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Master Plan Assistant Manager","Agung Sedayu Group","Jakarta Utara, Jakarta Raya","","subClassification: ArsitekArsitekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"OSS Solution Architect (Mandarin Speaker)","PT Whale Cloud Technology Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Support","PT CITY VISION","Jakarta Selatan, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"SECRETARY EXECUTIVE","PT Mulia Cemerlang Dian Persada","Jakarta Barat, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Receptionist","PT Vidya Artha Tama","Cikarang Utara, Jawa Barat","","subClassification: ResepsionisResepsionisclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Transport Admin","SCG","Jakarta Barat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Sales","PT Cahaya Mutiara Mandiri","Jakarta Timur, Jakarta Raya","Rp 4.700.000 – Rp 5.000.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Finance Admin Staff","","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Governance Specialist","PT Karisma Zona Kreatifku","Jakarta Selatan, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Staff IT","PT. Bajamarga Kharismautama","Jakarta Utara, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Corporate Secretary","PT Rufusindo Eka Persada","Kelapa Gading, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Training Administrator","PT. Alat Bantu Dengar Indonesia","Jakarta Pusat, Jakarta Raya","Rp 5,000,000 – Rp 5,500,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Finance Team (General Administration, Purchasing, Storekeeper)","PT MAMMA MIA GLOBAL","Jakarta Utara, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Security Product Specialist","PT Datacomm Diangraha","Jakarta Selatan, Jakarta Raya","","subClassification: Manajemen & Pengembangan ProdukManajemen & Pengembangan Produkclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Helpdesk","PT Tunas Ridean","Jakarta Selatan, Jakarta Raya","","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Sales","PT Secuone Teknologi Pentabenua","Jakarta Utara, Jakarta Raya","Rp 3.000.000 per month","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Data Analyst","PT Wahana Ottomitra Multiartha (WOM Finance), Tbk","Jakarta Utara, Jakarta Raya","","subClassification: Pengembangan & Administrasi DatabasePengembangan & Administrasi Databaseclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Patient Relationship","PT. Indo Dental Multipromo","Jakarta Selatan, Jakarta Raya","","subClassification: ResepsionisResepsionisclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Mandarin Translator","PT SUCCESS NEW STAR ECOMMERCE","Jakarta Utara, Jakarta Raya","Rp 8.000.000 – Rp 10.000.000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Restoran","PT. KEY SHINE INDONESIA","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Mobile Developer (iOS)","OLX Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Server Administrator Lead","PT Sinarmas Sekuritas","Jakarta Pusat, Jakarta Raya","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Receptionist","PT Integritas Berkah Berlimpah Ruah","Tangerang, Banten","","subClassification: ResepsionisResepsionisclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"CUSTOMER SERVICE","PT. KALIMAS SARANA SUPLINDO","Jakarta Pusat, Jakarta Raya","Rp 4,910,000 – Rp 5,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Staff Administrasi","PT Sinar Terang Megantara","Jakarta Barat, Jakarta Raya","Rp 3,500,000 – Rp 5,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Sales Administration – Institutional (Contract Basis)","","Jakarta Selatan, Jakarta Raya","","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Programmer","Indofood Group","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"AdiDana Business Development & Administration Control Staff","PT Bussan Auto Finance (BAF)","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"General Admin Raw Material","PT. Cemindo Gemilang, Tbk","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Sales","PT Cipta Adhyabusana","Jakarta Barat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Governance & Compliance","PT Solusi Pembayaran Elektronik","Tangerang, Banten","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Trading Sales Administration Staff for Food Business","PT Mitsui Indonesia","Jakarta Pusat, Jakarta Raya","","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Staf Administrasi Impor (Jakarta)","PT Shukaku Indonesia","Jakarta Utara, Jakarta Raya","Rp 5,000,000 – Rp 6,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Product Owner/ Product Designer- Investment & Banking domain","PT Shaft Consulting Services","Jakarta Pusat, Jakarta Raya","Rp 15,000,000 – Rp 20,000,000 per month","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"ADMIN EXPORT","PT Tropical International Trading","Tebet, Jakarta Raya","Rp 3,000,000 – Rp 3,500,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Drafter","PT Airwave Aji Perkasa","Tangerang, Banten","Rp 5,000,000 – Rp 6,000,000 per month","subClassification: TelekomunikasiTelekomunikasiclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT SUPPORT ENGINEER","PT Sistem Solusi Geospasial","Jakarta Selatan, Jakarta Raya","","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Sales Admin","PT Axindo Humaperdana","Jakarta Barat, Jakarta Raya","Rp 5,000,000 – Rp 5,500,000 per month","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Staff Support Site Management Services East Indonesia","PT Cipta Krida Bahari","Cilandak, Jakarta Raya","","subClassification: LainnyaLainnyaclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Executive Secretary","PT Bumitama Gunajaya Agro","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT STAFF (001)","PT. MEKAR ARMADA INVESTAMA","Tambun Selatan, Jawa Barat","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Junior Server & Network Engineer","PT Lintas Media Danawa","Jakarta Selatan, Jakarta Raya","Rp 6,500,000 – Rp 8,000,000 per month","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT System Analyst","PT Sinarmas Sekuritas","Jakarta Pusat, Jakarta Raya","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Sales","PT Gloria Origita Cosmetics","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Receptionist Perusahaan","PT. SHAN HAI MAP","Jakarta Barat, Jakarta Raya","Rp 5,000,000 per month","subClassification: ResepsionisResepsionisclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Programming Staff","PT Mandiri Tunas Finance","Jakarta Pusat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Business Unit Project Management Specialist","PT Link Net","Karawaci, Banten","","subClassification: TelekomunikasiTelekomunikasiclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
