"Jabatan","Perusahaan","Alamat","Gaji","Kategori"
"Junior IT Product Manager","PT. Central Proteina Prima, Tbk","Jakarta Selatan, Jakarta Raya","","subClassification: Manajemen & Pengembangan ProdukManajemen & Pengembangan Produkclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Spesialis pemeliharaan situs web","PT.HENGSHAN TRADING INDONESIA","Jakarta Pusat, Jakarta Raya","Rp 5,500,000 – Rp 8,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"OPERATION STAFF IMPORT-EXPORT","PT Port Avant Logistics","Jakarta Barat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Staf Admin Gudang","PT. Cahyadi Mulia Nugraha","Jakarta Selatan, Jakarta Raya","","subClassification: Entri Data & Pengolahan KataEntri Data & Pengolahan Kataclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Full Stack Engineer","PT Royal Pesona Indonesia (Somethinc – Beautyhaul)","Jakarta Barat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Manager","PT Iconic Talent Indonesia","Karawang, Jawa Barat","Rp 20,800,000 – Rp 23,400,000 per month","subClassification: ManajemenManajemenclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Security Manager","PT Daya5 Rekrutmen","Jakarta Selatan, Jakarta Raya","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"System Engineer - Server & Storage","PT Net One Asia","Jakarta Selatan, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"CORPORATE ACCOUNT MANAGER","PT Malifax Indonesia","Jakarta Pusat, Jakarta Raya","","subClassification: Penjualan – Pra & PascaPenjualan – Pra & Pascaclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Junior .Net Programmer","PT Infotech Solutions","Jakarta Selatan, Jakarta Raya","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
